,parameter,experiment,metabolite,compartment,enzyme,reaction,value,edges
8,kcat,,,,MTHFR1,MTHFR,3.1654,
9,kcat,,,,PROT1,PROT,0.264744,
0,conc_unbalanced,dataset1,adn,c,,,1.01E-06,
1,conc_unbalanced,dataset10,adn,c,,,1.00E-06,
2,conc_unbalanced,dataset11,adn,c,,,1.00E-06,
3,conc_unbalanced,dataset12,adn,c,,,9.88E-07,
4,conc_unbalanced,dataset2,adn,c,,,1.02E-06,
5,conc_unbalanced,dataset3,adn,c,,,9.79E-07,
6,conc_unbalanced,dataset4,adn,c,,,1.01E-06,
7,conc_unbalanced,dataset5,adn,c,,,9.93E-07,
8,conc_unbalanced,dataset6,adn,c,,,9.67E-07,
9,conc_unbalanced,dataset7,adn,c,,,1.03E-06,
10,conc_unbalanced,dataset8,adn,c,,,9.65E-07,
11,conc_unbalanced,dataset9,adn,c,,,1.01E-06,
12,conc_unbalanced,validation,adn,c,,,1.00E-06,
13,conc_unbalanced,dataset1,atp,c,,,0.00131546,
14,conc_unbalanced,dataset10,atp,c,,,0.00129565,
15,conc_unbalanced,dataset11,atp,c,,,0.00141327,
16,conc_unbalanced,dataset12,atp,c,,,0.00142194,
17,conc_unbalanced,dataset2,atp,c,,,0.00153435,
18,conc_unbalanced,dataset3,atp,c,,,0.00139253,
19,conc_unbalanced,dataset4,atp,c,,,0.00136095,
20,conc_unbalanced,dataset5,atp,c,,,0.00133369,
21,conc_unbalanced,dataset6,atp,c,,,0.00141045,
22,conc_unbalanced,dataset7,atp,c,,,0.00145197,
23,conc_unbalanced,dataset8,atp,c,,,0.00151163,
24,conc_unbalanced,dataset9,atp,c,,,0.00146944,
25,conc_unbalanced,validation,atp,c,,,0.00149061,
26,conc_unbalanced,dataset1,cyst-L,c,,,2.24E-06,
27,conc_unbalanced,dataset10,cyst-L,c,,,2.24E-06,
28,conc_unbalanced,dataset11,cyst-L,c,,,2.24E-06,
29,conc_unbalanced,dataset12,cyst-L,c,,,2.24E-06,
30,conc_unbalanced,dataset2,cyst-L,c,,,2.24E-06,
31,conc_unbalanced,dataset3,cyst-L,c,,,2.24E-06,
32,conc_unbalanced,dataset4,cyst-L,c,,,2.24E-06,
33,conc_unbalanced,dataset5,cyst-L,c,,,2.24E-06,
34,conc_unbalanced,dataset6,cyst-L,c,,,2.24E-06,
35,conc_unbalanced,dataset7,cyst-L,c,,,2.24E-06,
36,conc_unbalanced,dataset8,cyst-L,c,,,2.24E-06,
37,conc_unbalanced,dataset9,cyst-L,c,,,2.24E-06,
38,conc_unbalanced,validation,cyst-L,c,,,2.24E-06,
39,conc_unbalanced,dataset1,dmgly,c,,,5.00E-05,
40,conc_unbalanced,dataset10,dmgly,c,,,5.00E-05,
41,conc_unbalanced,dataset11,dmgly,c,,,5.00E-05,
42,conc_unbalanced,dataset12,dmgly,c,,,5.00E-05,
43,conc_unbalanced,dataset2,dmgly,c,,,5.00E-05,
44,conc_unbalanced,dataset3,dmgly,c,,,5.00E-05,
45,conc_unbalanced,dataset4,dmgly,c,,,5.00E-05,
46,conc_unbalanced,dataset5,dmgly,c,,,5.00E-05,
47,conc_unbalanced,dataset6,dmgly,c,,,5.00E-05,
48,conc_unbalanced,dataset7,dmgly,c,,,5.00E-05,
49,conc_unbalanced,dataset8,dmgly,c,,,5.00E-05,
50,conc_unbalanced,dataset9,dmgly,c,,,5.00E-05,
51,conc_unbalanced,validation,dmgly,c,,,5.00E-05,
52,conc_unbalanced,dataset1,gly,c,,,0.00145177,
53,conc_unbalanced,dataset10,gly,c,,,0.00149208,
54,conc_unbalanced,dataset11,gly,c,,,0.0014803,
55,conc_unbalanced,dataset12,gly,c,,,0.00150437,
56,conc_unbalanced,dataset2,gly,c,,,0.00155355,
57,conc_unbalanced,dataset3,gly,c,,,0.00137036,
58,conc_unbalanced,dataset4,gly,c,,,0.00147485,
59,conc_unbalanced,dataset5,gly,c,,,0.00145981,
60,conc_unbalanced,dataset6,gly,c,,,0.00142467,
61,conc_unbalanced,dataset7,gly,c,,,0.0014835,
62,conc_unbalanced,dataset8,gly,c,,,0.00145667,
63,conc_unbalanced,dataset9,gly,c,,,0.00147342,
64,conc_unbalanced,validation,gly,c,,,0.00148668,
65,conc_unbalanced,dataset1,glyb,c,,,0.00106758,
66,conc_unbalanced,dataset10,glyb,c,,,0.00139369,
67,conc_unbalanced,dataset11,glyb,c,,,0.00100747,
68,conc_unbalanced,dataset12,glyb,c,,,0.00134004,
69,conc_unbalanced,dataset2,glyb,c,,,0.00118009,
70,conc_unbalanced,dataset3,glyb,c,,,0.00126728,
71,conc_unbalanced,dataset4,glyb,c,,,0.00171631,
72,conc_unbalanced,dataset5,glyb,c,,,0.00131351,
73,conc_unbalanced,dataset6,glyb,c,,,0.00159891,
74,conc_unbalanced,dataset7,glyb,c,,,0.00114781,
75,conc_unbalanced,dataset8,glyb,c,,,0.000612879,
76,conc_unbalanced,dataset9,glyb,c,,,0.00161355,
77,conc_unbalanced,validation,glyb,c,,,0.0013517,
78,conc_unbalanced,dataset1,mlthf,c,,,3.15E-06,
79,conc_unbalanced,dataset10,mlthf,c,,,3.22E-06,
80,conc_unbalanced,dataset11,mlthf,c,,,2.55E-06,
81,conc_unbalanced,dataset12,mlthf,c,,,3.49E-06,
82,conc_unbalanced,dataset2,mlthf,c,,,2.78E-06,
83,conc_unbalanced,dataset3,mlthf,c,,,4.62E-06,
84,conc_unbalanced,dataset4,mlthf,c,,,3.64E-06,
85,conc_unbalanced,dataset5,mlthf,c,,,2.79E-06,
86,conc_unbalanced,dataset6,mlthf,c,,,2.60E-06,
87,conc_unbalanced,dataset7,mlthf,c,,,2.75E-06,
88,conc_unbalanced,dataset8,mlthf,c,,,2.38E-06,
89,conc_unbalanced,dataset9,mlthf,c,,,3.19E-06,
90,conc_unbalanced,validation,mlthf,c,,,2.94E-06,
91,conc_unbalanced,dataset1,nadp,c,,,1.22E-06,
92,conc_unbalanced,dataset10,nadp,c,,,1.22E-06,
93,conc_unbalanced,dataset11,nadp,c,,,1.22E-06,
94,conc_unbalanced,dataset12,nadp,c,,,1.22E-06,
95,conc_unbalanced,dataset2,nadp,c,,,1.22E-06,
96,conc_unbalanced,dataset3,nadp,c,,,1.22E-06,
97,conc_unbalanced,dataset4,nadp,c,,,1.22E-06,
98,conc_unbalanced,dataset5,nadp,c,,,1.22E-06,
99,conc_unbalanced,dataset6,nadp,c,,,1.22E-06,
100,conc_unbalanced,dataset7,nadp,c,,,1.22E-06,
101,conc_unbalanced,dataset8,nadp,c,,,1.22E-06,
102,conc_unbalanced,dataset9,nadp,c,,,1.22E-06,
103,conc_unbalanced,validation,nadp,c,,,1.22E-06,
104,conc_unbalanced,dataset1,nadph,c,,,0.000245139,
105,conc_unbalanced,dataset10,nadph,c,,,0.000245272,
106,conc_unbalanced,dataset11,nadph,c,,,0.000244594,
107,conc_unbalanced,dataset12,nadph,c,,,0.000245467,
108,conc_unbalanced,dataset2,nadph,c,,,0.000244944,
109,conc_unbalanced,dataset3,nadph,c,,,0.000245522,
110,conc_unbalanced,dataset4,nadph,c,,,0.000245538,
111,conc_unbalanced,dataset5,nadph,c,,,0.000244919,
112,conc_unbalanced,dataset6,nadph,c,,,0.00024474,
113,conc_unbalanced,dataset7,nadph,c,,,0.000244907,
114,conc_unbalanced,dataset8,nadph,c,,,0.000244665,
115,conc_unbalanced,dataset9,nadph,c,,,0.000245193,
116,conc_unbalanced,validation,nadph,c,,,0.000245007,
117,conc_unbalanced,dataset1,pi,c,,,0.001,
118,conc_unbalanced,dataset10,pi,c,,,0.000999995,
119,conc_unbalanced,dataset11,pi,c,,,0.001,
120,conc_unbalanced,dataset12,pi,c,,,0.001,
121,conc_unbalanced,dataset2,pi,c,,,0.001,
122,conc_unbalanced,dataset3,pi,c,,,0.001,
123,conc_unbalanced,dataset4,pi,c,,,0.001,
124,conc_unbalanced,dataset5,pi,c,,,0.00100001,
125,conc_unbalanced,dataset6,pi,c,,,0.000999998,
126,conc_unbalanced,dataset7,pi,c,,,0.001,
127,conc_unbalanced,dataset8,pi,c,,,0.001,
128,conc_unbalanced,dataset9,pi,c,,,0.000999997,
129,conc_unbalanced,validation,pi,c,,,0.001,
130,conc_unbalanced,dataset1,ppi,c,,,0.000500016,
131,conc_unbalanced,dataset10,ppi,c,,,0.000500012,
132,conc_unbalanced,dataset11,ppi,c,,,0.0005,
133,conc_unbalanced,dataset12,ppi,c,,,0.000499987,
134,conc_unbalanced,dataset2,ppi,c,,,0.0005,
135,conc_unbalanced,dataset3,ppi,c,,,0.0005,
136,conc_unbalanced,dataset4,ppi,c,,,0.0005,
137,conc_unbalanced,dataset5,ppi,c,,,0.000499994,
138,conc_unbalanced,dataset6,ppi,c,,,0.000500005,
139,conc_unbalanced,dataset7,ppi,c,,,0.0005,
140,conc_unbalanced,dataset8,ppi,c,,,0.0005,
141,conc_unbalanced,dataset9,ppi,c,,,0.000499997,
142,conc_unbalanced,validation,ppi,c,,,0.0005,
143,conc_unbalanced,dataset1,sarcs,c,,,1.00E-07,
144,conc_unbalanced,dataset10,sarcs,c,,,1.00E-07,
145,conc_unbalanced,dataset11,sarcs,c,,,1.00E-07,
146,conc_unbalanced,dataset12,sarcs,c,,,1.00E-07,
147,conc_unbalanced,dataset2,sarcs,c,,,1.00E-07,
148,conc_unbalanced,dataset3,sarcs,c,,,1.00E-07,
149,conc_unbalanced,dataset4,sarcs,c,,,1.00E-07,
150,conc_unbalanced,dataset5,sarcs,c,,,1.00E-07,
151,conc_unbalanced,dataset6,sarcs,c,,,1.00E-07,
152,conc_unbalanced,dataset7,sarcs,c,,,1.00E-07,
153,conc_unbalanced,dataset8,sarcs,c,,,1.00E-07,
154,conc_unbalanced,dataset9,sarcs,c,,,1.00E-07,
155,conc_unbalanced,validation,sarcs,c,,,1.00E-07,
156,conc_unbalanced,dataset1,ser-L,c,,,0.0015873,
157,conc_unbalanced,dataset10,ser-L,c,,,0.00158742,
158,conc_unbalanced,dataset11,ser-L,c,,,0.00158745,
159,conc_unbalanced,dataset12,ser-L,c,,,0.00158747,
160,conc_unbalanced,dataset2,ser-L,c,,,0.0015875,
161,conc_unbalanced,dataset3,ser-L,c,,,0.00158746,
162,conc_unbalanced,dataset4,ser-L,c,,,0.00158747,
163,conc_unbalanced,dataset5,ser-L,c,,,0.00158752,
164,conc_unbalanced,dataset6,ser-L,c,,,0.00158745,
165,conc_unbalanced,dataset7,ser-L,c,,,0.00158742,
166,conc_unbalanced,dataset8,ser-L,c,,,0.00158738,
167,conc_unbalanced,dataset9,ser-L,c,,,0.00158748,
168,conc_unbalanced,validation,ser-L,c,,,0.00158747,
169,conc_unbalanced,dataset1,thf,c,,,2.24E-05,
170,conc_unbalanced,dataset10,thf,c,,,2.24E-05,
171,conc_unbalanced,dataset11,thf,c,,,2.24E-05,
172,conc_unbalanced,dataset12,thf,c,,,2.24E-05,
173,conc_unbalanced,dataset2,thf,c,,,2.24E-05,
174,conc_unbalanced,dataset3,thf,c,,,2.24E-05,
175,conc_unbalanced,dataset4,thf,c,,,2.24E-05,
176,conc_unbalanced,dataset5,thf,c,,,2.24E-05,
177,conc_unbalanced,dataset6,thf,c,,,2.24E-05,
178,conc_unbalanced,dataset7,thf,c,,,2.24E-05,
179,conc_unbalanced,dataset8,thf,c,,,2.24E-05,
180,conc_unbalanced,dataset9,thf,c,,,2.24E-05,
181,conc_unbalanced,validation,thf,c,,,2.24E-05,
0,conc_enzyme,dataset1,,,AHC1,,0.000977878,
1,conc_enzyme,dataset10,,,AHC1,,0.000991666,
2,conc_enzyme,dataset11,,,AHC1,,0.000997687,
3,conc_enzyme,dataset12,,,AHC1,,0.0010235,
4,conc_enzyme,dataset2,,,AHC1,,0.000966965,
5,conc_enzyme,dataset3,,,AHC1,,0.0010362,
6,conc_enzyme,dataset4,,,AHC1,,0.000984397,
7,conc_enzyme,dataset5,,,AHC1,,0.00101482,
8,conc_enzyme,dataset6,,,AHC1,,0.00208569,
9,conc_enzyme,dataset7,,,AHC1,,0.000944561,
10,conc_enzyme,dataset8,,,AHC1,,0.00106363,
11,conc_enzyme,dataset9,,,AHC1,,0.000976883,
12,conc_enzyme,validation,,,AHC1,,0.000995683,
13,conc_enzyme,dataset1,,,BHMT1,,0.000996603,
14,conc_enzyme,dataset10,,,BHMT1,,0.00100196,
15,conc_enzyme,dataset11,,,BHMT1,,0.000995482,
16,conc_enzyme,dataset12,,,BHMT1,,0.00100114,
17,conc_enzyme,dataset2,,,BHMT1,,0.000998568,
18,conc_enzyme,dataset3,,,BHMT1,,0.1,
19,conc_enzyme,dataset4,,,BHMT1,,0.00100645,
20,conc_enzyme,dataset5,,,BHMT1,,0.00100073,
21,conc_enzyme,dataset6,,,BHMT1,,0.00100489,
22,conc_enzyme,dataset7,,,BHMT1,,0.000998019,
23,conc_enzyme,dataset8,,,BHMT1,,0.000986353,
24,conc_enzyme,dataset9,,,BHMT1,,0.00100509,
25,conc_enzyme,validation,,,BHMT1,,0.00100132,
26,conc_enzyme,dataset1,,,CBS1,,0.00134056,
27,conc_enzyme,dataset10,,,CBS1,,0.000971393,
28,conc_enzyme,dataset11,,,CBS1,,0.000999779,
29,conc_enzyme,dataset12,,,CBS1,,0.000714622,
30,conc_enzyme,dataset2,,,CBS1,,0.00105233,
31,conc_enzyme,dataset3,,,CBS1,,0.00100338,
32,conc_enzyme,dataset4,,,CBS1,,0.00101401,
33,conc_enzyme,dataset5,,,CBS1,,0.00104901,
34,conc_enzyme,dataset6,,,CBS1,,0.0010053,
35,conc_enzyme,dataset7,,,CBS1,,0.000979404,
36,conc_enzyme,dataset8,,,CBS1,,0.000948576,
37,conc_enzyme,dataset9,,,CBS1,,0.00101597,
38,conc_enzyme,validation,,,CBS1,,0.00101156,
39,conc_enzyme,dataset1,,,GNMT1,,0.000983692,
40,conc_enzyme,dataset10,,,GNMT1,,0.00102073,
41,conc_enzyme,dataset11,,,GNMT1,,0.00101015,
42,conc_enzyme,dataset12,,,GNMT1,,0.00103218,
43,conc_enzyme,dataset2,,,GNMT1,,0.00108239,
44,conc_enzyme,dataset3,,,GNMT1,,0.000911453,
45,conc_enzyme,dataset4,,,GNMT1,,0.00100476,
46,conc_enzyme,dataset5,,,GNMT1,,0.000991,
47,conc_enzyme,dataset6,,,GNMT1,,0.000958859,
48,conc_enzyme,dataset7,,,GNMT1,,0.00101258,
49,conc_enzyme,dataset8,,,GNMT1,,0.000988201,
50,conc_enzyme,dataset9,,,GNMT1,,0.00200682,
51,conc_enzyme,validation,,,GNMT1,,0.00101539,
52,conc_enzyme,dataset1,,,MAT1,,0.000961712,
53,conc_enzyme,dataset10,,,MAT1,,0.000963985,
54,conc_enzyme,dataset11,,,MAT1,,0.000999666,
55,conc_enzyme,dataset12,,,MAT1,,0.00100293,
56,conc_enzyme,dataset2,,,MAT1,,0.00104148,
57,conc_enzyme,dataset3,,,MAT1,,0.000990985,
58,conc_enzyme,dataset4,,,MAT1,,0.000979873,
59,conc_enzyme,dataset5,,,MAT1,,0.000968507,
60,conc_enzyme,dataset6,,,MAT1,,0.000998553,
61,conc_enzyme,dataset7,,,MAT1,,0.0010152,
62,conc_enzyme,dataset8,,,MAT1,,0.000515633,
63,conc_enzyme,dataset9,,,MAT1,,0.0010217,
64,conc_enzyme,validation,,,MAT1,,0.00103165,
65,conc_enzyme,dataset1,,,MAT3,,0.00098812,
66,conc_enzyme,dataset10,,,MAT3,,0.00195411,
67,conc_enzyme,dataset11,,,MAT3,,0.000999882,
68,conc_enzyme,dataset12,,,MAT3,,0.00100093,
69,conc_enzyme,dataset2,,,MAT3,,0.00101608,
70,conc_enzyme,dataset3,,,MAT3,,0.000997676,
71,conc_enzyme,dataset4,,,MAT3,,0.000993536,
72,conc_enzyme,dataset5,,,MAT3,,0.000990524,
73,conc_enzyme,dataset6,,,MAT3,,0.000999552,
74,conc_enzyme,dataset7,,,MAT3,,0.00100424,
75,conc_enzyme,dataset8,,,MAT3,,0.00101894,
76,conc_enzyme,dataset9,,,MAT3,,0.00100641,
77,conc_enzyme,validation,,,MAT3,,0.00100841,
78,conc_enzyme,dataset1,,,METH-Gen,,0.00103396,
79,conc_enzyme,dataset10,,,METH-Gen,,0.0010531,
80,conc_enzyme,dataset11,,,METH-Gen,,0.000674963,
81,conc_enzyme,dataset12,,,METH-Gen,,0.000985098,
82,conc_enzyme,dataset2,,,METH-Gen,,0.00101962,
83,conc_enzyme,dataset3,,,METH-Gen,,0.00108512,
84,conc_enzyme,dataset4,,,METH-Gen,,0.000945742,
85,conc_enzyme,dataset5,,,METH-Gen,,0.000984899,
86,conc_enzyme,dataset6,,,METH-Gen,,0.000999718,
87,conc_enzyme,dataset7,,,METH-Gen,,0.0010233,
88,conc_enzyme,dataset8,,,METH-Gen,,0.000928043,
89,conc_enzyme,dataset9,,,METH-Gen,,0.00103503,
90,conc_enzyme,validation,,,METH-Gen,,0.00123367,
91,conc_enzyme,dataset1,,,MS1,,0.00105094,
92,conc_enzyme,dataset10,,,MS1,,0.00100284,
93,conc_enzyme,dataset11,,,MS1,,0.00099902,
94,conc_enzyme,dataset12,,,MS1,,0.000962025,
95,conc_enzyme,dataset2,,,MS1,,0.00101423,
96,conc_enzyme,dataset3,,,MS1,,0.000944653,
97,conc_enzyme,dataset4,,,MS1,,0.000990808,
98,conc_enzyme,dataset5,,,MS1,,0.00203342,
99,conc_enzyme,dataset6,,,MS1,,0.00103107,
100,conc_enzyme,dataset7,,,MS1,,0.000994278,
101,conc_enzyme,dataset8,,,MS1,,0.000995792,
102,conc_enzyme,dataset9,,,MS1,,0.00100095,
103,conc_enzyme,validation,,,MS1,,0.000997511,
104,conc_enzyme,dataset1,,,MTHFR1,,0.0010054,
105,conc_enzyme,dataset10,,,MTHFR1,,0.00100704,
106,conc_enzyme,dataset11,,,MTHFR1,,0.000994755,
107,conc_enzyme,dataset12,,,MTHFR1,,0.00101131,
108,conc_enzyme,dataset2,,,MTHFR1,,0.000999926,
109,conc_enzyme,dataset3,,,MTHFR1,,0.00102425,
110,conc_enzyme,dataset4,,,MTHFR1,,0.000202629,
111,conc_enzyme,dataset5,,,MTHFR1,,0.000999108,
112,conc_enzyme,dataset6,,,MTHFR1,,0.000995252,
113,conc_enzyme,dataset7,,,MTHFR1,,0.000998754,
114,conc_enzyme,dataset8,,,MTHFR1,,0.000990993,
115,conc_enzyme,dataset9,,,MTHFR1,,0.00100626,
116,conc_enzyme,validation,,,MTHFR1,,0.00100215,
117,conc_enzyme,dataset1,,,PROT1,,0.000995525,
118,conc_enzyme,dataset10,,,PROT1,,0.00101369,
119,conc_enzyme,dataset11,,,PROT1,,0.00104948,
120,conc_enzyme,dataset12,,,PROT1,,0.00104304,
121,conc_enzyme,dataset2,,,PROT1,,0.000978462,
122,conc_enzyme,dataset3,,,PROT1,,0.00104419,
123,conc_enzyme,dataset4,,,PROT1,,0.00101619,
124,conc_enzyme,dataset5,,,PROT1,,0.00105319,
125,conc_enzyme,dataset6,,,PROT1,,0.0010308,
126,conc_enzyme,dataset7,,,PROT1,,0.00158096,
127,conc_enzyme,dataset8,,,PROT1,,0.00102698,
128,conc_enzyme,dataset9,,,PROT1,,0.00104042,
129,conc_enzyme,validation,,,PROT1,,0.0010043,
0,dgf,,5mthf,,,,223.646,
1,dgf,,adn,,,,375.758,
2,dgf,,ahcys,,,,547.319,
3,dgf,,amet,,,,636.255,
4,dgf,,atp,,,,-2263.31,
5,dgf,,cyst-L,,,,-46.4737,
6,dgf,,dmgly,,,,49.4547,
7,dgf,,gly,,,,-161.373,
8,dgf,,glyb,,,,173.094,
9,dgf,,hcys-L,,,,44.2,
10,dgf,,met-L,,,,160.953,
11,dgf,,mlthf,,,,198.009,
12,dgf,,nadp,,,,-2014.52,
13,dgf,,nadph,,,,-1948.58,
14,dgf,,pi,,,,-1055.95,
15,dgf,,ppi,,,,-1943.8,
16,dgf,,sarcs,,,,-39.4573,
17,dgf,,ser-L,,,,-216.712,
18,dgf,,thf,,,,108.366,
